Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7629667662434653,0.025296183721915347
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.5413368185212846,0.03794036818936278
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6731640527757032,0.02680386254565458
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7586258401792381,0.025127291536365285
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.5393950709484691,0.041326756734322706
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6685362210604928,0.029179762058460918
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.7629620985810307,0.024794162409007416
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.5432598954443615,0.03847321037829886
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.674644635299975,0.023979120837065805
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7600728155339805,0.023643268064365487
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.5471060492905153,0.04152520399999055
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.6701450087129699,0.02730077855186508
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.7499439880507843,0.03064893429864894
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.5259148618371919,0.0421441108745422
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.6635175504107542,0.035086382827309213
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.7513862957430919,0.030180415901206174
