Base_Learner,Algorithm,Algorithm_Metric,Algorithm_Height,Algorithm_Order,Prediction_Type,Metric,Mean,Std
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,hamming_accuracy,0.7276115342920322,0.012773350978868206
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,subset0_1,0.3807235962422684,0.022012409496980464
RF,PreOrder__Hamming__None,Hamming,,PreOrder,BinaryVector,f1,0.6492822624274903,0.014308396696159237
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7346037387531164,0.014203981580732257
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,subset0_1,0.42658724476151866,0.024375133424612186
RF,PreOrder__Hamming__2,Hamming,2.0,PreOrder,BinaryVector,f1,0.6582976838495506,0.016157845777611236
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,hamming_accuracy,0.7271957338762317,0.012535180101558283
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,subset0_1,0.3803913009722139,0.02189355800934114
RF,PreOrder__Subset__None,Subset,,PreOrder,BinaryVector,f1,0.6491724413301172,0.013919646686012857
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,hamming_accuracy,0.7340355932057178,0.014352228667816158
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,subset0_1,0.42783412841504126,0.024182230041752975
RF,PreOrder__Subset__2,Subset,2.0,PreOrder,BinaryVector,f1,0.6570019442633547,0.016332010385492517
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,hamming_accuracy,0.5683699818554591,0.014458190785538703
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,subset0_1,0.20465592946920746,0.01944495421523887
RF,PartialOrder__Hamming__None,Hamming,,PartialOrder,BinaryVector,f1,0.5317923815932115,0.013207042799131555
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5705161848730314,0.014478867207525975
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,subset0_1,0.21097057478800216,0.019470638696960838
RF,PartialOrder__Hamming__2,Hamming,2.0,PartialOrder,BinaryVector,f1,0.5343976065801791,0.013165800730788978
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,hamming_accuracy,0.5682590729893634,0.014467629415982624
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,subset0_1,0.20465592946920746,0.01944495421523887
RF,PartialOrder__Subset__None,Subset,,PartialOrder,BinaryVector,f1,0.5316898059885612,0.013221928635421884
RF,PartialOrder__Subset__2,Subset,2.0,PartialOrder,BinaryVector,hamming_accuracy,0.5701283920371057,0.014446086989879562
